id,name,scientific_name,description,image_url,location,funder
150,Lattice Butterflyfish,Chaetodon rafflesii,"Intricate lattice pattern, gliding along coral walls, feeding on tiny polyps, pairing closely, agile and deliberate, precise reef navigator.",UNDEFINED,GBR,
151,Leafy Sea Dragon,Phycodurus eques,"Frilly, leaf-like appendages drifting among kelp, feeding on plankton and mysids, delicate, slow-moving, perfectly camouflaged, unknown lifespan adding mystery.",leafyseadragon.png,GSR,
152,Leatherback Turtle,Dermochelys coriacea,"Largest turtle, flexible shell up to two meters, migrates vast distances, feeding on jellyfish, gliding powerfully through open ocean currents.",leatherbackturtle.png,OPEN,
153,Lemon Damsel,Pomacentrus moluccensis,"Bright yellow, hovering near coral, feeding on plankton, darting rapidly, territorial yet small, alert and constantly twitching.",lemondamsel.png,GBR,
154,Lemon Shark,Negaprion brevirostris,"Yellow-brown hue, coastal hunter, slow glider, curious yet cautious, shallow reef and estuary cruiser, schooling occasionally, apex predator with mellow tropical vibes.",UNDEFINED,GBR,
155,Leopard Wrasse,Macropharyngodon meleagris,"Spotted, undulating over sand patches and rubble, snatching tiny crustaceans, shifting colours with mood, shy but persistent foragers.",UNDEFINED,GBR,
156,Lined Bristeltooth,Ctenochaetus striatus,"Slender, scraping algae with bristled mouth, moving across reef walls, constant grazing, contributing to reef cleaning, steady and methodical.",UNDEFINED,GBR,
157,Little Shore Crab,Brachynotus spinosus,"Small, agile, females carrying up to 50,000 eggs beneath abdomen, scuttling across tidal flats and crevices, quick and persistent.",littleshorecrab.png,ROCK,
158,Loggerhead Turtle,Caretta caretta,"Massive jawed glider, cruising shallow reefs, feeding on crustaceans and mollusks, slow deliberate movements, ancient presence, resilient ocean traveler, powerful yet calm.",UNDEFINED,OPEN,
159,Long Snouted Boarfish,Pentacerosis recurvirostris,"Elongated snout probing sand and rubble, bold black-and-white bands, hovering gracefully, slow deliberate movements, searching for crustaceans and tiny invertebrates.",longsnoutedboarfish.png,GSR,
160,Longfin Batfish,Platax teira,"Tall, flattened body gliding near reef slopes, long fins sweeping water, slow, curious, drifting in loose shoals, hovering above coral.",UNDEFINED,GBR,
161,Magpie Perch,Cheilodactylus nigripes,"Black-and-white patterned body, nibbles clouds of sediment, flicking fins subtly, blending with shadows, agile and deliberate hunter.",magpieperch.png,GSR,
162,Mahi Mahi,Coryphaena hippurus,"Neon-green-gold flash, fast pelagic hunter, acrobatic leaps, tropical offshore predator, photogenic, ocean’s flashy showboat.",UNDEFINED,OPEN,
163,Mako Shark,Isurus oxyrinchus,"Streamlined, powerful predator, bursts up to 75 km/h, patrolling open ocean, hunting fish with precision, agile and relentless.",makoshark.png,OPEN,
164,Mangrove Jack,Lutjanus argentimaculatus,"Red-brown body, lurking near mangrove roots, ambushing small fish, territorial and strong, darting quickly between shadows and exposed sand.",UNDEFINED,MANG,
165,Maori Wrasse,Cheilinus undulatus,"Large, colourful, patrolling reef slopes, grazing invertebrates, gentle movements, distinctive patterns, slow yet confident, occasionally interacting with divers.",UNDEFINED,GBR,
167,Maroon Clownfish,Premnas biaculeatus,"Deep red with white stripes, darting among anemone tentacles, highly territorial, agile, bold, tiny reef sentinel with quirky playful personality.",UNDEFINED,GBR,
168,Moonlighter ,Tilodon sexfasciatus,"Heart-shaped, striped body, hovering near sandy patches, feeding on small invertebrates, curious and bold, displaying sunny, alert movements.",moonlighter.png,GSR,
169,Moorish idol,Zanclus cornutus,"Striking black, white, and yellow bands, gliding elegantly along reef walls, snatching polyps and tiny invertebrates, agile, graceful, high-contrast patterns.",UNDEFINED,GBR,
170,Moreton Bay Bug,Thenus spp.,"Flattened, stubby claws, digger, sandy burrower, slow but tasty, prized seafood, photogenic, reef-adjacent crustacean superhero of dinner tables.",UNDEFINED,GBR,
171,Mosaic Leatherjacket,Eubalichthys mosaicus,"Patchwork patterns, grazing algae, moving steadily along Southern Australian coasts, bold yet cautious, blending perfectly with reef rubble and kelp textures.",mosaicleatherjacket.png,GSR,
172,Nannygai,Centroberyx affinus,"Red-orange, schooling near rocky reefs, hunting small fish and invertebrates, alert, wary of hooks due to fishing closures, persistent but elusive.",nannygai.png,OPEN,
173,Napoleon Parrotfish,Cheilinus undulatus,"Massive forehead, gliding over reef, snatching crustaceans and mollusks, slow yet deliberate, striking green-blue scales, gentle giant of coral slopes.",UNDEFINED,GBR,
174,Nautilus Squid,Nautilus pomphilius,"Coiled shell drifting slowly, jet propulsion bursts, siphon steering precise, feeding on carrion or detritus, ancient appearance, floating ghostly through deep waters.",nautilussquid.png,OPEN,
175,Necklace Carpetshark,Parascyllium variolatum,"Intricate saddles and spots, slow-moving along sandy bottoms, nocturnal hunter of small invertebrates, blending with textures, cautious yet persistent.",necklacecarpetshark.png,GSR,
176,New Zealand Eagle Ray,Myliobatis tenuicaudatus,"Flat, wide wings, gliding over sandy seafloor, stirring crustaceans, long whip tail trailing, elegant, graceful predator, subtle yet commanding.",newzealandeagleray.png,GSR,
177,Northern Pacific Seastar,Asterias amurensis ,"Rapidly spreading across reefs, preying on oysters, mussels, scallops, strong regenerative abilities, invasive, altering benthic communities, subtle predator with huge ecological impact.",UNDEFINED,GSR,
178,Nudibranch - Clown Doris,Ceratosoma amoenum,"Bright orange and white stripes, crawling over reef, feeding on sponges, soft-bodied, small, slow, whimsical appearance like miniature reef clown.",nudibranchclowndoris.png,GSR,
179,Nudibranch - Mexichroma,Mexichromis macropus,"Feathery gills arranged around posterior, crawling slowly over corals, bright, delicate, feeding on sponge, small, flamboyant movements adding subtle colour to reef.",nudibranchmexichroma.png,GSR,
180,Oblique Banded Sweetlips,Plectorhinchus lineatus,"Thick oblique stripes, hovering over sandy patches and reef edges, grazing invertebrates, slow, deliberate movements, bold yet cautious, juveniles often schooling.",UNDEFINED,GBR,
181,Old Wife,Enoplosus armatus,"Easily recognised iconic shape, black-and-white bands, patrolling shallow reefs, grazing small invertebrates, raising dorsal spines defensively, slow, confident, alert movements.",oldwife.png,GBR,
182,Orangelined triggerfish ,Balistapus undulatus,"Bright orange dorsal line, grazing coral rubble and algae, raising dorsal spines defensively, darting quickly when threatened, territorial and persistent.",UNDEFINED,GBR,
183,Orangespine Unicornfish,Naso lituratus,"Elongated body, orange tail spines flicking, grazing algae on reef slopes, gliding smoothly, occasionally shoaling, alert and agile, tail flashing defensively.",UNDEFINED,GBR,
184,Ornate Butterflyfish,Chaetodon ornatissimus,"Yellow and black patterned, gliding over branching coral, nibbling polyps, darting elegantly, alert, photogenic, small yet instantly recognisable reef jewel.",UNDEFINED,GBR,
185,Ornate Cowfish,Aracana ornatus,"Boxy body, intricate ornamental patterns, gliding across reef sand, grazing benthic invertebrates, slow, cautious, like a living treasure chest waiting to move.",ornatecowfish.png,GSR,
186,Ornate Eagle Ray,Aetomylaeus vespertilio,"Huge wings, spotted pattern, graceful glider, reef-edge and shallow tropical waters, photogenic, gentle predator.",UNDEFINED,THAI,
187,Ornate Ghost Pipefish,Solenostomus paradoxus,"Camouflaged leaf-like body, floating, photogenic, subtle ambush predator, cryptic tropical reef drifter.",UNDEFINED,THAI,
188,Ornate Leopard Wrasse Female,Macropharyngodon ornatus,"Spotted, weaving along rubble and sand patches, snatching tiny crustaceans, subtle colour shifts, shy and graceful, slow movements blending with reef.",UNDEFINED,GBR,
189,Paddletail,Lutjanus gibbus ,"Rounded tail, robust body, patrolling reef slopes, hunting small fish and invertebrates, bursts of speed, precise, alert, confident reef predator.",UNDEFINED,GBR,
190,Palenose Parrotfish ,Scarus psittacus,"Muted nose, scraping algae and coral polyps, gliding steadily along reef walls, colour shifting subtly, persistent, methodical, slow yet bold feeder.",UNDEFINED,GBR,
191,Pallette Tang,Paracanthurus hepatus,"Electric blue with black “painter’s palette” markings, darting quickly among coral, grazing algae, bold, small, visible, alert, constantly twitching movements.",UNDEFINED,GBR,
192,Paragorgia Coral,Paragorgia,"Rigid branching structure, deep-red or pink, filter-feeding plankton, anchored in strong currents, swaying gently, providing habitat for small reef creatures.",UNDEFINED,DEEP,
193,Passionfruit Coral Trout,Plectropomus areolatus,"Vibrant orange-and-purple spots, sleek predatory body, lurks near coral ledges, ambushes small fish, photogenic reef hunter, prized catch, reef’s colorful apex ambusher.",UNDEFINED,GBR,
194,Pennant Bannerfish ,Heniochus diphreutes,"Vertical black-and-white stripes, long dorsal streamer, gliding above reef, feeding on plankton, coordinated shoals, small, elegant, darting gracefully among corals.",UNDEFINED,GBR,
195,Peppermint Angelfish,Centropyge boylei,"Tiny bright red and white, reef crevice dweller, photogenic, subtle nibbling tropical reef jewel.",UNDEFINED,GBR,
196,Philinopsis Taronga Sea Slug,Philinopsis Taronga,"Hermaphroditic, crawling slowly over sand, eating other slugs, mating both get pregnant, laying long spaghetti strings of eggs, Hamilton Island native.",UNDEFINED,GBR,
197,Pink Dolphin,Orcaella brevirostris,"Smooth, pinkish-gray, coastal and estuarine swimmer, curious pods, gentle acrobatics, photogenic, social, subtle river-mouth and shallow tropical reef-edge explorer.",UNDEFINED,THAI,
198,Pink Skunk Anenomefish,Amphiprion perideraion,"Soft pink body with white stripe, darting among anemone tentacles, defending territory, bold and small, flashing quickly between protective crevices.",UNDEFINED,THAI,
199,Pink Ventfish,Thermaces cerberus,"Deep-dwelling, dusky pink hues, drifting silently above the seabed, rarely glimpsed, slow, subtle movements, mysterious and ghostly in abyssal darkness.",UNDEFINED,DEEP,
200,Pinocchio Shark,Apristurus australis,"Recorded up to 55cm, slender and elusive, prowling deep waters, very little known, ghostly presence hovering near seafloor shadows.",UNDEFINED,DEEP,
201,Pinstriped Butterflyfish,Chaetodon trifasciatus,"Three thin black stripes, gliding over coral walls, snatching tiny polyps, small, agile, darting constantly, elegant, bright and alert",UNDEFINED,GBR,
202,Pipefish,Stigmatopora argus,"Slender, camouflaged, weaves among seagrass and algae, tiny mouth for small crustaceans, photogenic, slow-moving stealth hunter, subtle jewel of southern Australian waters.",pipefish.png,GSR,
203,Porcupinefish,Diodon nicthemerus,"Inflatable body with sharp spines, hovering cautiously, feeding on molluscs, puffs defensively when threatened, slow, bold, prickly yet endearing.",porcupinefish.png,GSR,
204,Port Jackson Shark,Heterodontus Portusjacksoni ,"Pancake-like body, harness pattern, crushing crustaceans with blunt teeth, napping on seafloor, ultimate couch potato of reefs, curious, low-drama predator.",portjacksonshark.png,GSR,
205,Potato Rockcod,Cephalopholis,"Chunky, mottled brown, sits in crevices, ambushes prey, slow but deadly, reef’s potato-shaped predator with surprising bursts of speed.",UNDEFINED,GBR,
206,Pyjama Cardinalfish,Sphaeramia nematoptera,"Striking vertical stripes, large curious eyes, small nocturnal shoaler, reef crevice dweller, photogenic, subtle movements, tropical coral-reef micro-predator.",UNDEFINED,THAI,
207,Queenfish,Scomberoides commersonnianus,"Shiny silver, streamlined predator, fast pelagic hunter near reefs and estuaries, acrobatic leaps, photogenic, tropical schooling ocean streaker with teeth.",UNDEFINED,GBR,
208,Raccoon Butterflyfish ,Chaetodon lunula,"Black “mask” over eyes, gliding along coral slopes, feeding on polyps, pairing closely, alert, elegant, darting gracefully between crevices.",UNDEFINED,GBR,
209,Rainbow Cale,Heteroscarus acroptilus,"Small, multicoloured, grazing algae on reef walls, shifting patterns with mood, darting quickly, shy, subtle but striking among rocks.",rainbowcale.png,GSR,
210,Red Gurnard,Chelidonichthys kumu,"Bright red, pectoral fins spread like wings, skimming sand for crustaceans, bursts of speed, bold, dramatic movements, striking reef presence.",redgurnard.png,GSR,
211,Red Ribbon Wrasse ,Thalassoma quinquevittatum,"Long, slender, red-striped body, darting through coral, feeding on tiny invertebrates, agile, persistent, weaving elegantly through reef crevices.",UNDEFINED,GSR,
212,Red Squirrelfish,Sargocentron rubrum,"Bright red, large eyes, nocturnal hunter, hiding among ledges during day, darting out at night for small prey, alert, twitchy movements.",UNDEFINED,GBR,
213,Red Throat Emperor,Lethrinus miniatus,"Bold red throat, cruising reef flats, ambushing crustaceans, strong jaws, slow glider, alert predator, subtle movements, iconic Southern reef hunter.",UNDEFINED,GBR,
214,Red Velvetfish,Gnathanacanthus goetzeei,"Deep red, velvety texture, camouflaged among rocks and sponges, slow creeping movements, ambush predator of small fish and crustaceans, subtle but deadly.",UNDEFINED,GSR,
215,Redbreast Maori Wrasse,Cheilinus fasciatus,"Vivid red chest, bold green-and-blue body, reef-dwelling wrasse, curious, nibbles invertebrates, playful predator with a splash of Maori flair.",UNDEFINED,GBR,
216,Redstreaked Blenny,Cirripectes stigmaticus,"Small, red streaks along body, perching on rocks, nibbling algae, curious, twitchy, quick to retreat into tiny crevices when threatened.",UNDEFINED,GBR,
217,Redtooth Triggerfish ,Odonus niger,"Deep blue with red teeth flashes, grazing and defending territory, darting quickly over reef, strong jaw, bold, persistent, eye-catching predator.",UNDEFINED,GBR,
218,Regal Angelfish,Pygoplites diacanthus,"Striking blue and yellow stripes, gliding gracefully along coral crests, snatching tiny invertebrates, elegant, cautious, darting smoothly through reef shadows.",UNDEFINED,GBR,
219,Ribbon Eel,Rhinomuraena quaesita,"Bright blue and yellow, waving from sandy burrow, slender, darting, curious, ambush predator, elegant, playful, reef’s alien-looking slender phantom.",UNDEFINED,GBR,
220,Ringeye Hawkfish,Paracirrhites arcatus,"Perched atop coral, red-ringed eye scanning surroundings, quick pounces on small prey, territorial, twitchy, confident observer of reef activity.",UNDEFINED,GBR,
221,Rock Crab,Nectocarcinus integrifrons,"Oversized black-brown claws, scuttling over rocks, scavenging detritus, cautious but bold when threatened, flattened body blending with reef rubble.",UNDEFINED,ROCK,
222,Rockmover Wrasse,Novaculichthys taeniourus,"Powerful jaws flipping rocks to expose hidden prey, gliding over rubble, bold and curious, methodical forager of small invertebrates.",UNDEFINED,THAI,
223,Round Batfish,Platax orbicularis,"Flattened disc-like body, slow gliding over reef slopes, hovering near sand or rubble, subtle fin movements, graceful yet unhurried.",roundbatfish.png,GBR,
224,Royal Dottyback,Pictichromis paccagnellae,"Vibrant purple, darting rapidly among coral, fiercely defending territory, small yet bold, constant twitching, alert, energetic little reef predator.",UNDEFINED,GBR,
225,Saddled Butterflyfish,Chaetodon ephippium,"Dark saddle marking, gliding elegantly over reef, picking polyps from coral, pairing often, agile, alert, weaving smoothly among branches.",saddledbutterflyfish.png,GBR,
226,Sailfin Blenny,Salarias fasciatus,"Striped, small, reef algae grazer, photogenic, darts among corals, tiny but bold personality, classic reef grazer.",UNDEFINED,GBR,
227,Sailfish,Istiophorus platypterus,"Spectacular dorsal “sail,” lightning-fast predator, leaps high, chases schools of baitfish, photogenic, pelagic tropical hunter, ocean’s needle-speed missile.",UNDEFINED,OPEN,
228,Sand Flathead,Platycephalus bassensis ,"Camouflaged, flattened body buried in sand, ambushing unsuspecting prey, subtle shifts, stealthy hunter, motionless until sudden bursts of speed.",sandflathead.png,GSR,
229,Sand Whiting,Sillago ciliata,"Prized on Aussie tables, sandy burrower, gliding over shallow bottoms, feeding on small invertebrates, elusive, subtle movements, constant target for fishers.",sandwhiting.png,GSR,
230,Sandbar Shark,Carcharhinus plumbeus,"Broad, triangular dorsal fin, coastal hunter, cruising shallow sandy reefs, alert, social, medium-sized, photogenic apex predator of warm Aussie waters.",UNDEFINED,GBR,
231,Sawshark,Pristiophorus cirratus ,"Long saw-like snout, shredding prey with up to 25 teeth per side, prowling sandy seafloor, slow deliberate hunter, ghostly presence.",sawshark.png,GSR,
232,Scalyfin,Parma Victoria,"Juvenile yellow with round eyes, bold personality, darting between rubble, grazing algae and tiny crustaceans, small but full of energy.",scalyfin.png,GSR,
233,Scalyfin Juvenile,Parma Victoria,"Juvenile yellow with round eyes, bold personality, darting between rubble, grazing algae and tiny crustaceans, small but full of energy.",scalyfinjuvenile.png,GSR,
234,Scissortail Sargeant,Abudefduf sexfasciatus,"Bold black-and-white stripes, hovering above reef, schooling tightly, feeding on plankton, darting agilely, alert and coordinated, small but highly visible.",UNDEFINED,GBR,
235,Sea Cucumber,none,"Munching debris, dead coral, fish waste, ecosystem janitor, slow, subtle undulations, quietly recycling nutrients, essential yet unassuming reef inhabitant.",seacucumber.png,OPEN,
236,Sea Hare,Aplysia spp.,"Slow glider, soft-bodied, grazing on algae, photogenic, subtle cryptic movements, reef-floor recycler, charismatic nudibranch cousin.",UNDEFINED,THAI,
237,Sea Mouse,Aphrodita australis ,"Spiny, flattened, crawling along seafloor, bristly body shimmering in light, scavenging, nocturnal movements, ghostly and intriguing, rarely noticed.",seamouse.png,GSR,
238,Sea Slug - Black,Stichopus chloronotus,"Smooth tropical reef-floor recycler, subtle nocturnal grazer, photogenic, ecosystem cleaner, subtle tropical cryptic dweller.",UNDEFINED,GBR,
239,Sea Slug - Nembrotha cristata,Nembrotha cristata,"Vibrant black and green, crawling reef-floor drifter, photogenic, carnivorous, subtle nocturnal hunter.",UNDEFINED,THAI,
240,Sea Spider,Pyconogonida Latreille,"Spindly legs, tiny body, crawling across seafloor, scavenging detritus, slow, alien-like movements, ghostly deep-sea presence, delicate and unusual.",seaspider.png,DEEP,
241,Sea Sweep,Scorpis aequipinnis,"Silver schooling fish, feeding on plankton or thrown bread, moving in coordinated flurries, agile, highly social, glimmering flashes among snorkellers.",seasweep.png,OPEN,
242,Senator Wrasse,Pictilabrus laticlavius,"Sequential hermaphrodite, individuals mature into females then males, patrolling reef rubble, snatching crustaceans, agile, subtle colour shifts, persistent forager.",senatorwrasse.png,GSR,
243,Sevengill Shark,Notorynchus cepedianus,"Prefers solitary swimming through depths, elongated body, hunting opportunistically, slow cruising predator, low-light hunter, ghostly presence near seafloor shadows.",sevengillshark.png,GSR,
244,Shark Ray,Rhina ancylostoma,"Broad, rounded body, shark-like nose, gliding near reefs, ambush predator, subtle nocturnal movements, curious yet cautious, photogenic, tropical shallow-water giant.",UNDEFINED,GBR,
245,Sharksucker,Echeneis naucrates,"Clinging to larger fish, hitchhiking through currents, feeding on parasites, agile fin movements, persistent follower, symbiotic yet unobtrusive.",UNDEFINED,OPEN,
246,Shovelnose Lobster,Scyllaridae ,"Flattened, armored body, nocturnal scavenger, flipping across sand or rubble, antennae sensing prey, subtle yet precise movements, elusive predator.",UNDEFINED,DEEP,
247,Shovelnose Ray,Aptychotrema vincentiana ,"Sleek body, powerful tail, gliding along seafloor like a pro dancer, ambushing prey, stealthy, elegant, striking silhouette over sandy bottoms.",shovelnoseray.png,GSR,
248,Sicklefish,Drepane punctata,"Curved dorsal fins, silvery-grey, coastal estuaries, shoals in sandy shallows, planktivore, photogenic, subtle hunter with crescent-shaped flair.",UNDEFINED,GBR,
249,Silver Drummer,Kyphosus sydneyanus ,"Grows up to 80 cm, gliding over reefs and seagrass, grazing algae, schooling occasionally, bold yet peaceful, subtle silvery shimmer in sunlight.",silverdrummer.png,GSR,
250,Six Banded Angelfish ,Pomacanthus sexstriatus,"Six bold bands, gliding elegantly along coral crests, feeding on invertebrates, alert and cautious, weaving smoothly through branching corals, striking and small.",sixbandedangelfish.png,GBR,
251,Six Spine Leatherjacket female,Meuschenia Freycineti ,"Six sharp dorsal spines, punk-rock defense, exploring rocky reefs and caves, snacking on invertebrates, curious yet cautious, slow glides with confident swagger.",sixspineleatherjacketfemale.png,GSR,
252,Six Spine Leatherjacket male,Meuschenia Freycineti ,"Six sharp dorsal spines, punk-rock defense, exploring rocky reefs and caves, snacking on invertebrates, curious yet cautious, slow glides with confident swagger.",sixspineleatherjacketmale.png,GSR,
253,Sixbar Wrasse,Thalassoma hardwicke,"Six thin bars, darting energetically over rubble, snatching tiny crustaceans, agile and alert, shoaling occasionally, persistent forager, playful reef navigator.",sixbarwrasse.png,GBR,
254,Sixline Wrasse,Pseudocheilinus hexataenia,"Vivid horizontal stripes, darting rapidly among corals, cleaning small parasites, agile, skittish yet bold, coordinating movements with shoal, curious little reef actor.",UNDEFINED,GBR,
255,Skeleton Shrimp,Caprellidae,"Slender, spindly body, clinging to algae or coral, omnivorous scavenger, collecting whatever is edible, twitchy movements, ghostly but industrious micro-predator.",skeletonshrimp.png,DEEP,
256,Slender Snipe Eel,Nemichthys scolopaceus ,"Long, thin, hunting pelagic crustaceans, darting with agility, quick-witted predator, ghostly glides through deep water, delicate movements, rare deep-sea spectacle.",UNDEFINED,DEEP,
257,Slingjaw Wrasse,Epibulus insidiator,"Extendable jaw catapults prey, thin elongated body, stealthy reef hunter, quick, photogenic, nature’s jaw-dropping show-off, classic GBR spectacle.",UNDEFINED,GBR,
258,Smooth Stingray,Bathytoshia brevicaudata ,"Flat, gliding across sandy bottoms, subtle undulations, stealthy hunter of invertebrates, smooth skin, elegant, moving silently yet powerfully over seafloor.",UNDEFINED,GSR,
259,Smooth Toadfish,Tetractenos glaber,"Soft-bodied, camouflaged, hovering near reef rubble, ambushing small prey, slow yet effective hunter, subtle movements, alert, cryptic and resilient.",smoothtoadfish.png,GSR,
260,Smooth Toadfish Juvenile,Tetractenos glaber,"Tiny body, hides behind seaweed in the shallows, quick and panicked movements, alert, cryptic and resilient.",smoothtoadfishjuvenile.png,GSR,
261,Snowflake Moray,Echidna nebulosa,"White-spotted, chunky little moray, hunting crustaceans, darting from holes, alert, bold, slightly comical expression, reef’s quirky little ambush predator.",UNDEFINED,GBR,
262,Snubnose Dart,Trachinotus blochii,"Silvery, torpedo-shaped, short blunt snout, zips through shallow coastal waters, feeds on small fish and crustaceans, photogenic, fast-moving reef and estuary predator.",snubnosedart.png,GBR,
263,Southern Blue Devil,Paraplesiops meleagris,"Electric blue, hiding among ledges, territorial, ambushing small invertebrates, darting rapidly, small but bold, striking reef presence, alert and curious.",southernbluedevil.png,GSR,
264,Southern Right Whale,Eubalaena australis,"Massive, graceful migrator, gliding through coastal waters, gentle filter-feeder, breaching and tail-slapping, social yet peaceful, iconic Southern Ocean leviathan.",UNDEFINED,GSR,
265,Southern Rock Lobster,Jesus edwardsii,"No claws, strong spiny legs used for defense and movement, scuttling across rocks, nocturnal forager, persistent, armored yet agile in Southern reefs.",southernrocklobster.png,GSR,
266,Spanish Mackerel,Scomberomorus commerson,"Sleek silver predator, tropical offshore schooling hunter, lightning-fast ambushes, photogenic, oceanic razor-finned marauder.",UNDEFINED,GBR,
267,Spanner Crab,Ranina ranina,"Flattened, brick-red, spiny edges, digs in sand, nocturnal, quick sideways scuttler, photogenic, edible crustacean bounty of shallow reefs.",UNDEFINED,GBR,
268,Speckled Butterflyfish,Chaetodon citrinellus,"Tiny speckles across pale body, gliding over coral, snatching polyps, small and agile, darting gracefully, constantly alert, pairing or schooling occasionally.",UNDEFINED,GBR,
269,Sperm Whale,Physeter macrocephalus,"Massive deep-diver, hunting squid with echolocation, slow cruising, social pods, iconic head, majestic, gentle giants of deep ocean waters, occasional breaching spectacle.",UNDEFINED,DEEP,
270,Spinner Dolphin,Stenella longirostris,"Agile, acrobatic, spinning leaps above reef, playful pod member, social chatter, photogenic, curious tropical waters acrobat, reef’s joyful entertainer.",UNDEFINED,OPEN,
271,Sponge Crab,Austrodromidia australis ,"Daytime in caves and crevices, night forager, clever, camouflaged, dragging sponges for disguise, slow, careful movements, cryptic reef ninja.",spongecrab.png,GSR,
272,Spotted Dart,Trachinotus botla,"Sleek, silvery, torpedo-shaped, spotted fins, zips through shallow reef waters, agile predator of small fish and crustaceans, classic fast-moving reef hunter.",UNDEFINED,GBR,
273,Spotted Drum,Equetus punctatus,"Striking black-and-white vertical stripes, reef crevice lurker, photogenic, subtle nocturnal movements, tropical reef ambush predator.",UNDEFINED,GBR,
274,Spotted Eagle Ray,Aetobatus narinari,"Graceful glider, black spots on pale body, sweeping over sand and reef, tail trailing, hunting mollusks, playful, elegant, iconic open-water reef dancer.",UNDEFINED,GBR,
275,Spotted Garden Eel,Heteroconger hassi,"Slender, half-buried in sand, waving in currents, shy yet curious, tiny mouths snapping at drifting plankton, subtle patch of reef elegance.",UNDEFINED,MANG,
276,Spotted Hawkfish,Cirrhitichthys aprinus,"Perched on corals, spotted pattern, ambush predator, quick pounces on small prey, twitchy, alert, darting sideways and forward, territorial and bold.",UNDEFINED,GBR,
277,Spotted Ratfish,Hydrolagus colliei ,"Grinding plate of teeth, scavenging seafloor invertebrates, ghostly glides, long whip tail trailing, slow, nocturnal, alien-like movements, cautious but persistent.",UNDEFINED,DEEP,
278,Spotted Scat,Scatophagus argus,"Round, silvery fish with dark spots, swims near mangroves and estuaries, bold eater, sometimes leaps from water, photogenic, omnivorous reef visitor.",UNDEFINED,GBR,
279,Starry Puffer,Arothron stellatus,"Covered in small white stars, inflates when threatened, slow, hovering over reef, grazing invertebrates, bold, prickly defense mechanism, whimsical appearance.",UNDEFINED,GBR,
280,Steephead Parrotfish,Chlorurus microrhinos,"Strong, angled head for crushing coral, grazing algae, steady glider over rubble, bold, ecosystem engineer, slow powerhouse maintaining reef health.",UNDEFINED,GBR,
281,Stingaree,Trygonoptera testacea,"Flattened, gliding along sandy seafloor, tail barbed for defense, subtle undulations, stealthy predator, blends with substrate, smooth elegant silhouette.",UNDEFINED,GSR,
282,Stonefish ,Synanceia verrucosa,"Camouflaged, venomous spines, lurking motionless among rubble, ambushing prey, slow deliberate predator, striking yet hidden, deadly when disturbed, cryptic reef assassin.",UNDEFINED,GBR,
283,Striped Boxfish ,Ostracion solorensis,"Boxy body with contrasting stripes, gliding carefully over reef, grazing small invertebrates, slow, deliberate, curious, striking angular presence among corals.",UNDEFINED,THAI,
284,Striped Eel Catfish,Plotosus lineatus,"Long striped body, moving in schools, nocturnal scavenger, whiskers probing substrate, agile, coordinated, persistent forager of reef floors.",UNDEFINED,GBR,
285,Striped Marlin,Kajikia audax,"Sleek silver-blue stripes, fast predator, leaps from water, chases baitfish, photogenic, tropical pelagic acrobat, offshore hunting powerhouse.",UNDEFINED,OPEN,
286,Stripey Snapper,Lutjanus kasmira,"Vivid yellow with blue stripes, shoals near reefs, omnivore, photogenic, popular with snorkelers, fast-moving schooling reef fish.",UNDEFINED,GBR,
287,Sunfish,Mola mola,"Massive flattened body, drifting near surface, sunbathing occasionally, feeding on jellyfish, slow undulating movements, huge silhouette, peaceful ocean giant.",sunfish.png,OPEN,
288,Surf Crab,Ovalipes australiensis ,"Paddle-like legs, swimming and digging backwards, disappearing into sand, agile, quick, cryptic, hunting small prey along surf zones, clever and evasive.",surfcrab.png,GSR,
289,Surf Parrotfish,Scarus rivulatus,"Powerful beak, grazing algae on surf-exposed reefs, scraping coral surfaces, robust body, bold movements, persistent, vibrant, slightly rough texture, clever reef gardener.",UNDEFINED,GBR,
290,Surf Sardine,Iso rhothophilus,"Small silvery schooling fish, darting near surf zones, feeding on plankton, agile, synchronized flurries, constantly twitching, alert, shimmering flashes in sunlight.",UNDEFINED,OPEN,
291,Surge Wrasse,Thalassoma purpureum,"Purple hues, darting among coral, grazing tiny invertebrates, fast and agile, twitchy movements, persistent forager, playful reef navigator, alert and curious.",UNDEFINED,GBR,
292,Swordfish,Xiphias gladius,"Long bill slashes through prey, solitary nocturnal hunter, deep and surface-swimming, photogenic, ocean’s stealthy tropical predator with built-in spear.",UNDEFINED,OPRN,
293,Tasmanian Blenny,Parablennius tasmanianus ,"Slender and mottled, clinging to tidal pools and rocky ledges, peeking from holes, grazing algae, wiggly and persistent",tasmanianblenny.png,GSR,
294,Thresher Shark,Alopias vulpinus,"Long whip-like tail, hunting schooling fish, thought to live up to 22 years, solitary cruiser, bursts of speed, sleek predator silhouette.",threshershark.png,OPEN,
295,Tiger Shark,Galeocerdo cuvier,"Striped, powerful predator, cruising open waters, hunting opportunistically, bold, strong jaw, apex presence, slow but decisive movements, notorious and iconic.",tigershark.png,OPEN,
296,Tiger Squid,Sepioteuthis australis,"Striped, agile, flashes chromatophores, dashes among reefs, jet-propelled hunter, photogenic, classic cephalopod predator of Southern Australia waters.",UNDEFINED,THAI,
